Id,Role,Gender,Age,Date of death,Age range,Num victims,Date,Day,Hr,Street Tipe,Street,Croos,Commune,Pos X,Pos Y,Victim,Accused,X coordinate,Y coordinate,Neighborhoods,Weekday
2016-0001,CONDUCTOR,MASCULINO,19,2016-01-01,0 -24,1,2016-01-01,1.0,4,AVENIDA,PIEDRA BUENA AV.,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",Commune 8,-58.47533969,-34.68757022,MOTO,AUTO,98896.78238426,93532.43437792,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Friday
2016-0002,CONDUCTOR,MASCULINO,70,2016-01-02,61 -80,1,2016-01-02,2.0,1,GRAL PAZ,"PAZ, GRAL. AV.",DE LOS CORRALES AV.,Commune 9,-58.50877521,-34.66977709,AUTO,PASAJEROS,95832.05571093,95505.41641999,LINIERS - MATADEROS - PARQUE AVELLANEDA,Saturday
2016-0003,CONDUCTOR,MASCULINO,30,2016-01-03,25 -40,1,2016-01-03,3.0,7,AVENIDA,ENTRE RIOS AV.,,Commune 1,-58.39040293,-34.63189362,MOTO,AUTO,106684.2909004,99706.57687843,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Sunday
2016-0004,CONDUCTOR,MASCULINO,18,,0 -24,1,2016-01-10,10.0,0,AVENIDA,LARRAZABAL AV.,"VILLEGAS, CONRADO, GRAL.",Commune 8,-58.46503904,-34.68092974,MOTO,SD,99840.6522478,94269.16534422,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Sunday
2016-0005,CONDUCTOR,MASCULINO,29,2016-02-01,25 -40,1,2016-01-21,21.0,5,AVENIDA,SAN JUAN AV.,"SAENZ PEÑA, LUIS, PRES.",Commune 1,-58.38718297,-34.6224663,MOTO,PASAJEROS,106980.32827929,100752.16915795,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Thursday
2016-0008,CONDUCTOR,MASCULINO,30,2016-01-24,25 -40,1,2016-01-24,24.0,18,AVENIDA,27 DE FEBRERO AV.,ESCALADA AV.,Commune 8,-58.44451316,-34.68475866,MOTO,OBJETO FIJO,101721.59002217,93844.25656649,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Sunday
2016-0009,PASAJERO_ACOMPAÑANTE,MASCULINO,29,2016-01-26,25 -40,1,2016-01-24,24.0,19,CALLE,NOGOYA,"GONZALEZ, JOAQUIN V.",Commune 11,-58.50095869,-34.6082544,MOTO,AUTO,96545.87592078,102330.67262199,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,Sunday
2016-0010,CONDUCTOR,MASCULINO,18,2016-01-29,0 -24,1,2016-01-29,29.0,15,GRAL PAZ,"PAZ, GRAL. AV.",DE LOS CORRALES AV.,Commune 9,-58.50877521,-34.66977709,MOTO,AUTO,95832.05571093,95505.41641999,LINIERS - MATADEROS - PARQUE AVELLANEDA,Friday
2016-0012,CONDUCTOR,MASCULINO,22,2016-02-08,0 -24,1,2016-02-08,8.0,1,AVENIDA,BELGRANO AV.,"IRIGOYEN, BERNARDO DE",Commune 1,-58.38048577,-34.61303893,MOTO,CARGAS,107595.35084333,101797.50052813,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Monday
2016-0013,PEATON,MASCULINO,16,2016-02-10,0 -24,1,2016-02-10,10.0,11,AVENIDA,ENTRE RIOS AV.,,Commune 1,-58.39114932,-34.62477387,PEATON,AUTO,106616.41069662,100496.44662323,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Wednesday
2016-0015,PEATON,FEMENINO,16,2016-02-14,0 -24,1,2016-02-14,14.0,5,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",VERA,Commune 15,-58.4376002,-34.59912758,PEATON,AUTO,102357.43746828,103343.52002839,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,Sunday
2016-0016,PASAJERO_ACOMPAÑANTE,FEMENINO,19,2016-02-14,0 -24,1,2016-02-14,14.0,22,AVENIDA,REGIMIENTO DE PATRICIOS AV.,"QUINQUELA MARTIN, BENITO",Commune 4,-58.36882665,-34.64291993,MOTO,AUTO,108661.59115206,98481.75445555,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Sunday
2016-0017,PEATON,MASCULINO,59,2016-02-16,41 -60,1,2016-02-15,15.0,16,AVENIDA,"ACOSTA, MARIANO","JANER, ANA MARIA",Commune 8,-58.44989671,-34.65970435,PEATON,MOTO,101228.61094416,96623.72136186,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Monday
2016-0019,PEATON,FEMENINO,65,2016-02-17,61 -80,1,2016-02-17,17.0,9,CALLE,"DE LA TORRE, LISANDRO","GARCIA GRANDE DE ZEQUEIRA, SEVERO",Commune 9,-58.50990884,-34.65468721,PEATON,PASAJEROS,95727.37083199,97179.35560349,LINIERS - MATADEROS - PARQUE AVELLANEDA,Wednesday
2016-0020,PEATON,MASCULINO,59,2016-03-02,41 -60,1,2016-02-17,17.0,16,CALLE,SUIPACHA,,Commune 1,-58.37952223,-34.60653282,PEATON,AUTO,107684.31807562,102519.17333314,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Wednesday
2016-0021,CONDUCTOR,MASCULINO,34,2016-02-17,25 -40,1,2016-02-17,17.0,23,AVENIDA,DIRECTORIO AV.,CURAPALIGUE,Commune 7,-58.45157703,-34.63063795,AUTO,AUTO,101074.94198885,99848.19369046,FLORES - PARQUE CHACABUCO,Wednesday
2016-0022,PASAJERO_ACOMPAÑANTE,MASCULINO,41,,41 -60,1,2016-02-21,21.0,6,AVENIDA,9 DE JULIO AV.,"ALSINA, ADOLFO",Commune 1,-58.38144696,-34.61079875,MOTO,AUTO,107507.39502374,102046.08333077,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Sunday
2016-0025,PASAJERO_ACOMPAÑANTE,MASCULINO,34,2016-02-28,25 -40,1,2016-02-28,28.0,4,GRAL PAZ,"PAZ, GRAL. AV.",27 DE FEBRERO AV.,Commune 8,-58.46244952,-34.70524971,AUTO,AUTO,100077.95205948,91571.23307293,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Sunday
2016-0026,CONDUCTOR,MASCULINO,30,2016-03-04,25 -40,1,2016-02-28,28.0,7,CALLE,HOLMBERG,VEDIA,Commune 12,-58.49216191,-34.54738649,AUTO,OBJETO FIJO,97350.7556659,109083.19420265,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,Sunday
2016-0027,PASAJERO_ACOMPAÑANTE,MASCULINO,34,,25 -40,1,2016-02-28,28.0,9,AVENIDA,CURAPALIGUE AV.,"DIAZ, AVELINO",Commune 7,-58.44497874,-34.63852623,AUTO,AUTO,101679.82794245,98973.0297685,FLORES - PARQUE CHACABUCO,Sunday
2016-0028,PEATON,MASCULINO,50,2016-03-02,41 -60,1,2016-03-02,2.0,10,AVENIDA,VIAMONTE,9 DE JULIO AV.,Commune 1,-58.38199706,-34.60028648,PEATON,CARGAS,107457.87314266,103212.28518029,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Wednesday
2016-0029,PEATON,MASCULINO,38,2016-03-04,25 -40,1,2016-03-04,4.0,17,AVENIDA,CABILDO AV.,DEHEZA,Commune 12,-58.47378664,-34.54153077,PEATON,PASAJEROS,99037.31284333,109733.12041651,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,Friday
